"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Pakistan","2000","Male","53",""
"Pakistan","2000","Female","54",""
"Pakistan","2000","Both sexes","54",""
"Palau","2012","Male","61",""
"Palau","2012","Female","64",""
"Palau","2012","Both sexes","62",""
"Palau","2000","Male","59",""
"Palau","2000","Female","61",""
"Palau","2000","Both sexes","60",""
"Panama","2012","Male","65",""
"Panama","2012","Female","69",""
"Panama","2012","Both sexes","67",""
"Panama","2000","Male","64",""
"Panama","2000","Female","68",""
"Panama","2000","Both sexes","66",""
"Papua New Guinea","2012","Male","52",""
"Papua New Guinea","2012","Female","55",""
"Papua New Guinea","2012","Both sexes","53",""
"Papua New Guinea","2000","Male","49",""
"Papua New Guinea","2000","Female","52",""
"Papua New Guinea","2000","Both sexes","50",""
"Paraguay","2012","Male","63",""
"Paraguay","2012","Female","67",""
"Paraguay","2012","Both sexes","65",""
"Paraguay","2000","Male","62",""
"Paraguay","2000","Female","66",""
"Paraguay","2000","Both sexes","64",""
"Peru","2012","Male","66",""
"Peru","2012","Female","68",""
"Peru","2012","Both sexes","67",""
"Peru","2000","Male","61",""
"Peru","2000","Female","64",""
"Peru","2000","Both sexes","62",""
"Philippines","2012","Male","57",""
"Philippines","2012","Female","63",""
"Philippines","2012","Both sexes","60",""
"Philippines","2000","Male","57",""
"Philippines","2000","Female","62",""
"Philippines","2000","Both sexes","60",""
"Poland","2012","Male","64",""
"Poland","2012","Female","71",""
"Poland","2012","Both sexes","67",""
"Poland","2000","Male","62",""
"Poland","2000","Female","68",""
"Poland","2000","Both sexes","65",""
"Portugal","2012","Male","69",""
"Portugal","2012","Female","73",""
"Portugal","2012","Both sexes","71",""
"Portugal","2000","Male","65",""
"Portugal","2000","Female","70",""
"Portugal","2000","Both sexes","68",""
"Qatar","2012","Male","68",""
"Qatar","2012","Female","66",""
"Qatar","2012","Both sexes","68",""
"Qatar","2000","Male","66",""
"Qatar","2000","Female","64",""
"Qatar","2000","Both sexes","65",""
"Republic of Korea","2012","Male","70",""
"Republic of Korea","2012","Female","75",""
"Republic of Korea","2012","Both sexes","73",""
"Republic of Korea","2000","Male","66",""
"Republic of Korea","2000","Female","71",""
"Republic of Korea","2000","Both sexes","68",""
"Republic of Moldova","2012","Male","59",""
"Republic of Moldova","2012","Female","66",""
"Republic of Moldova","2012","Both sexes","63",""
"Republic of Moldova","2000","Male","57",""
"Republic of Moldova","2000","Female","62",""
"Republic of Moldova","2000","Both sexes","60",""
"Romania","2012","Male","63",""
"Romania","2012","Female","69",""
"Romania","2012","Both sexes","66",""
"Romania","2000","Male","60",""
"Romania","2000","Female","66",""
"Romania","2000","Both sexes","63",""
"Russian Federation","2012","Male","57",""
"Russian Federation","2012","Female","66",""
"Russian Federation","2012","Both sexes","61",""
"Russian Federation","2000","Male","53",""
"Russian Federation","2000","Female","63",""
"Russian Federation","2000","Both sexes","58",""
"Rwanda","2012","Male","55",""
"Rwanda","2012","Female","56",""
"Rwanda","2012","Both sexes","55",""
"Rwanda","2000","Male","40",""
"Rwanda","2000","Female","40",""
"Rwanda","2000","Both sexes","40",""
"Saint Kitts and Nevis","2012","Male","61",""
"Saint Kitts and Nevis","2012","Female","66",""
"Saint Kitts and Nevis","2012","Both sexes","63",""
"Saint Kitts and Nevis","2000","Male","60",""
"Saint Kitts and Nevis","2000","Female","64",""
"Saint Kitts and Nevis","2000","Both sexes","62",""
"Saint Lucia","2012","Male","60",""
"Saint Lucia","2012","Female","66",""
"Saint Lucia","2012","Both sexes","63",""
"Saint Lucia","2000","Male","62",""
"Saint Lucia","2000","Female","65",""
"Saint Lucia","2000","Both sexes","63",""
"Saint Vincent and the Grenadines","2012","Male","61",""
"Saint Vincent and the Grenadines","2012","Female","65",""
"Saint Vincent and the Grenadines","2012","Both sexes","63",""
"Saint Vincent and the Grenadines","2000","Male","59",""
"Saint Vincent and the Grenadines","2000","Female","63",""
"Saint Vincent and the Grenadines","2000","Both sexes","61",""
"Samoa","2012","Male","62",""
"Samoa","2012","Female","66",""
"Samoa","2012","Both sexes","64",""
"Samoa","2000","Male","59",""
"Samoa","2000","Female","64",""
"Samoa","2000","Both sexes","61",""
"San Marino","2012","Male","72",""
"San Marino","2012","Female","73",""
"San Marino","2012","Both sexes","73",""
"San Marino","2000","Male","69",""
"San Marino","2000","Female","74",""
"San Marino","2000","Both sexes","72",""
"Sao Tome and Principe","2012","Male","56",""
"Sao Tome and Principe","2012","Female","59",""
"Sao Tome and Principe","2012","Both sexes","57",""
"Sao Tome and Principe","2000","Male","53",""
"Sao Tome and Principe","2000","Female","55",""
"Sao Tome and Principe","2000","Both sexes","54",""
"Saudi Arabia","2012","Male","64",""
"Saudi Arabia","2012","Female","66",""
"Saudi Arabia","2012","Both sexes","65",""
"Saudi Arabia","2000","Male","61",""
"Saudi Arabia","2000","Female","63",""
"Saudi Arabia","2000","Both sexes","62",""
"Senegal","2012","Male","54",""
"Senegal","2012","Female","56",""
"Senegal","2012","Both sexes","55",""
"Senegal","2000","Male","48",""
"Senegal","2000","Female","49",""
"Senegal","2000","Both sexes","49",""
"Serbia","2012","Male","63",""
"Serbia","2012","Female","67",""
"Serbia","2012","Both sexes","65",""
"Serbia","2000","Male","61",""
"Serbia","2000","Female","65",""
"Serbia","2000","Both sexes","63",""
"Seychelles","2012","Male","63",""
"Seychelles","2012","Female","71",""
"Seychelles","2012","Both sexes","67",""
"Seychelles","2000","Male","61",""
"Seychelles","2000","Female","69",""
"Seychelles","2000","Both sexes","65",""
"Sierra Leone","2012","Male","39",""
"Sierra Leone","2012","Female","39",""
"Sierra Leone","2012","Both sexes","39",""
"Sierra Leone","2000","Male","33",""
"Sierra Leone","2000","Female","33",""
"Sierra Leone","2000","Both sexes","33",""
"Singapore","2012","Male","74",""
"Singapore","2012","Female","77",""
"Singapore","2012","Both sexes","76",""
"Singapore","2000","Male","70",""
"Singapore","2000","Female","73",""
"Singapore","2000","Both sexes","71",""
"Slovakia","2012","Male","64",""
"Slovakia","2012","Female","70",""
"Slovakia","2012","Both sexes","67",""
"Slovakia","2000","Male","61",""
"Slovakia","2000","Female","68",""
"Slovakia","2000","Both sexes","65",""
"Slovenia","2012","Male","67",""
"Slovenia","2012","Female","73",""
"Slovenia","2012","Both sexes","70",""
"Slovenia","2000","Male","64",""
"Slovenia","2000","Female","69",""
"Slovenia","2000","Both sexes","67",""
"Solomon Islands","2012","Male","58",""
"Solomon Islands","2012","Female","60",""
"Solomon Islands","2012","Both sexes","59",""
"Solomon Islands","2000","Male","56",""
"Solomon Islands","2000","Female","57",""
"Solomon Islands","2000","Both sexes","56",""
"Somalia","2012","Male","44",""
"Somalia","2012","Female","46",""
"Somalia","2012","Both sexes","45",""
"Somalia","2000","Male","42",""
"Somalia","2000","Female","44",""
"Somalia","2000","Both sexes","43",""
"South Africa","2012","Male","49",""
"South Africa","2012","Female","53",""
"South Africa","2012","Both sexes","51",""
"South Africa","2000","Male","49",""
"South Africa","2000","Female","53",""
"South Africa","2000","Both sexes","51",""
"South Sudan","2012","Male","47",""
"South Sudan","2012","Female","48",""
"South Sudan","2012","Both sexes","48",""
"South Sudan","2000","Male","41",""
"South Sudan","2000","Female","42",""
"South Sudan","2000","Both sexes","42",""
"Spain","2012","Male","71",""
"Spain","2012","Female","75",""
"Spain","2012","Both sexes","73",""
"Spain","2000","Male","68",""
"Spain","2000","Female","73",""
"Spain","2000","Both sexes","70",""
"Sri Lanka","2012","Male","63",""
"Sri Lanka","2012","Female","68",""
"Sri Lanka","2012","Both sexes","65",""
"Sri Lanka","2000","Male","57",""
"Sri Lanka","2000","Female","65",""
"Sri Lanka","2000","Both sexes","61",""
"Sudan","2012","Male","52",""
"Sudan","2012","Female","54",""
"Sudan","2012","Both sexes","53",""
"Sudan","2000","Male","48",""
"Sudan","2000","Female","50",""
"Sudan","2000","Both sexes","49",""
"Suriname","2012","Male","63",""
"Suriname","2012","Female","68",""
"Suriname","2012","Both sexes","66",""
"Suriname","2000","Male","62",""
"Suriname","2000","Female","65",""
"Suriname","2000","Both sexes","63",""
"Swaziland","2012","Male","44",""
"Swaziland","2012","Female","47",""
"Swaziland","2012","Both sexes","46",""
"Swaziland","2000","Male","41",""
"Swaziland","2000","Female","42",""
"Swaziland","2000","Both sexes","41",""
"Sweden","2012","Male","71",""
"Sweden","2012","Female","73",""
"Sweden","2012","Both sexes","72",""
"Sweden","2000","Male","69",""
"Sweden","2000","Female","72",""
"Sweden","2000","Both sexes","70",""
"Switzerland","2012","Male","71",""
"Switzerland","2012","Female","74",""
"Switzerland","2012","Both sexes","73",""
"Switzerland","2000","Male","68",""
"Switzerland","2000","Female","72",""
"Switzerland","2000","Both sexes","71",""
"Syrian Arab Republic","2012","Male","55",""
"Syrian Arab Republic","2012","Female","65",""
"Syrian Arab Republic","2012","Both sexes","59",""
"Syrian Arab Republic","2000","Male","62",""
"Syrian Arab Republic","2000","Female","64",""
"Syrian Arab Republic","2000","Both sexes","63",""
"Tajikistan","2012","Male","59",""
"Tajikistan","2012","Female","60",""
"Tajikistan","2012","Both sexes","60",""
"Tajikistan","2000","Male","55",""
"Tajikistan","2000","Female","57",""
"Tajikistan","2000","Both sexes","56",""
"Thailand","2012","Male","63",""
"Thailand","2012","Female","68",""
"Thailand","2012","Both sexes","66",""
"Thailand","2000","Male","59",""
"Thailand","2000","Female","65",""
"Thailand","2000","Both sexes","62",""
"The former Yugoslav Republic of Macedonia","2012","Male","65",""
"The former Yugoslav Republic of Macedonia","2012","Female","68",""
"The former Yugoslav Republic of Macedonia","2012","Both sexes","66",""
"The former Yugoslav Republic of Macedonia","2000","Male","63",""
"The former Yugoslav Republic of Macedonia","2000","Female","66",""
"The former Yugoslav Republic of Macedonia","2000","Both sexes","64",""
"Timor-Leste","2012","Male","55",""
"Timor-Leste","2012","Female","58",""
"Timor-Leste","2012","Both sexes","57",""
"Timor-Leste","2000","Male","49",""
"Timor-Leste","2000","Female","51",""
"Timor-Leste","2000","Both sexes","50",""
"Togo","2012","Male","50",""
"Togo","2012","Female","50",""
"Togo","2012","Both sexes","50",""
"Togo","2000","Male","47",""
"Togo","2000","Female","47",""
"Togo","2000","Both sexes","47",""
"Tonga","2012","Male","64",""
"Tonga","2012","Female","61",""
"Tonga","2012","Both sexes","62",""
"Tonga","2000","Male","60",""
"Tonga","2000","Female","61",""
"Tonga","2000","Both sexes","60",""
"Trinidad and Tobago","2012","Male","58",""
"Trinidad and Tobago","2012","Female","64",""
"Trinidad and Tobago","2012","Both sexes","61",""
"Trinidad and Tobago","2000","Male","58",""
"Trinidad and Tobago","2000","Female","63",""
"Trinidad and Tobago","2000","Both sexes","60",""
"Tunisia","2012","Male","65",""
"Tunisia","2012","Female","67",""
"Tunisia","2012","Both sexes","66",""
"Tunisia","2000","Male","63",""
"Tunisia","2000","Female","65",""
"Tunisia","2000","Both sexes","64",""
"Turkey","2012","Male","63",""
"Turkey","2012","Female","67",""
"Turkey","2012","Both sexes","65",""
"Turkey","2000","Male","58",""
"Turkey","2000","Female","63",""
"Turkey","2000","Both sexes","61",""
"Turkmenistan","2012","Male","53",""
"Turkmenistan","2012","Female","59",""
"Turkmenistan","2012","Both sexes","56",""
"Turkmenistan","2000","Male","52",""
"Turkmenistan","2000","Female","57",""
"Turkmenistan","2000","Both sexes","54",""
"Tuvalu","2012","Male","57",""
"Tuvalu","2012","Female","60",""
"Tuvalu","2012","Both sexes","58",""
"Tuvalu","2000","Male","53",""
"Tuvalu","2000","Female","57",""
"Tuvalu","2000","Both sexes","55",""
"Uganda","2012","Male","49",""
"Uganda","2012","Female","50",""
"Uganda","2012","Both sexes","49",""
"Uganda","2000","Male","38",""
"Uganda","2000","Female","40",""
"Uganda","2000","Both sexes","39",""
"Ukraine","2012","Male","59",""
"Ukraine","2012","Female","67",""
"Ukraine","2012","Both sexes","63",""
"Ukraine","2000","Male","56",""
"Ukraine","2000","Female","65",""
"Ukraine","2000","Both sexes","60",""
"United Arab Emirates","2012","Male","66",""
"United Arab Emirates","2012","Female","66",""
"United Arab Emirates","2012","Both sexes","67",""
"United Arab Emirates","2000","Male","64",""
"United Arab Emirates","2000","Female","64",""
"United Arab Emirates","2000","Both sexes","64",""
"United Kingdom","2012","Male","70",""
"United Kingdom","2012","Female","72",""
"United Kingdom","2012","Both sexes","71",""
"United Kingdom","2000","Male","67",""
"United Kingdom","2000","Female","70",""
"United Kingdom","2000","Both sexes","69",""
"United Republic of Tanzania","2012","Male","51",""
"United Republic of Tanzania","2012","Female","53",""
"United Republic of Tanzania","2012","Both sexes","52",""
"United Republic of Tanzania","2000","Male","43",""
"United Republic of Tanzania","2000","Female","44",""
"United Republic of Tanzania","2000","Both sexes","43",""
"United States of America","2012","Male","68",""
"United States of America","2012","Female","71",""
"United States of America","2012","Both sexes","70",""
"United States of America","2000","Male","66",""
"United States of America","2000","Female","70",""
"United States of America","2000","Both sexes","68",""
"Uruguay","2012","Male","65",""
"Uruguay","2012","Female","70",""
"Uruguay","2012","Both sexes","68",""
"Uruguay","2000","Male","63",""
"Uruguay","2000","Female","69",""
"Uruguay","2000","Both sexes","66",""
"Uzbekistan","2012","Male","59",""
"Uzbekistan","2012","Female","62",""
"Uzbekistan","2012","Both sexes","61",""
"Uzbekistan","2000","Male","56",""
"Uzbekistan","2000","Female","60",""
"Uzbekistan","2000","Both sexes","58",""
"Vanuatu","2012","Male","61",""
"Vanuatu","2012","Female","63",""
"Vanuatu","2012","Both sexes","62",""
"Vanuatu","2000","Male","59",""
"Vanuatu","2000","Female","60",""
"Vanuatu","2000","Both sexes","59",""
"Venezuela (Bolivarian Republic of)","2012","Male","63",""
"Venezuela (Bolivarian Republic of)","2012","Female","69",""
"Venezuela (Bolivarian Republic of)","2012","Both sexes","66",""
"Venezuela (Bolivarian Republic of)","2000","Male","62",""
"Venezuela (Bolivarian Republic of)","2000","Female","67",""
"Venezuela (Bolivarian Republic of)","2000","Both sexes","65",""
"Viet Nam","2012","Male","62",""
"Viet Nam","2012","Female","69",""
"Viet Nam","2012","Both sexes","66",""
"Viet Nam","2000","Male","60",""
"Viet Nam","2000","Female","67",""
"Viet Nam","2000","Both sexes","63",""
"Yemen","2012","Male","54",""
"Yemen","2012","Female","55",""
"Yemen","2012","Both sexes","54",""
"Yemen","2000","Male","51",""
"Yemen","2000","Female","52",""
"Yemen","2000","Both sexes","51",""
"Zambia","2012","Male","48",""
"Zambia","2012","Female","50",""
"Zambia","2012","Both sexes","49",""
"Zambia","2000","Male","35",""
"Zambia","2000","Female","37",""
"Zambia","2000","Both sexes","36",""
"Zimbabwe","2012","Male","48",""
"Zimbabwe","2012","Female","51",""
"Zimbabwe","2012","Both sexes","49",""
"Zimbabwe","2000","Male","37",""
"Zimbabwe","2000","Female","36",""
"Zimbabwe","2000","Both sexes","37",""

