"Country or Area","Year","Value"
"Canada","1992","463758.640095088"
"Canada","1991","449959.72019981"
"Canada","1990","458218.335926151"
"Croatia","2020","16870.528408384"
"Croatia","2019","17857.445591055"
"Croatia","2018","17724.1517863315"
"Croatia","2017","18743.9950230909"
"Croatia","2016","18109.0143970187"
"Croatia","2015","17824.7047595048"
"Croatia","2014","17681.5663185347"
"Croatia","2013","18432.191008391"
"Croatia","2012","19087.4027480903"
"Croatia","2011","20649.6177875146"
"Croatia","2010","21016.2830621677"
"Croatia","2009","21804.4547896896"
"Croatia","2008","23594.9936119181"
"Croatia","2007","24862.8605362226"
"Croatia","2006","23549.9460565342"
"Croatia","2005","23343.9211573291"
"Croatia","2004","22887.8914861655"
"Croatia","2003","23215.2607801838"
"Croatia","2002","21889.4604439169"
"Croatia","2001","20785.3041535169"
"Croatia","2000","19662.4867687669"
"Croatia","1999","20024.7463048038"
"Croatia","1998","19013.4224322406"
"Croatia","1997","18558.61835123"
"Croatia","1996","17344.8700402797"
"Croatia","1995","16817.6673666635"
"Croatia","1994","16054.0207174592"
"Croatia","1993","16809.1800005589"
"Croatia","1992","16372.5932863955"
"Croatia","1991","16987.5094533194"
"Croatia","1990","22979.7889577863"
"Cyprus","2020","7269.57770038249"
"Cyprus","2019","7343.17648563009"
"Cyprus","2018","7342.54640987686"
"Cyprus","2017","7525.36524001395"
"Cyprus","2016","7375.41523740046"
"Cyprus","2015","6972.96411678323"
"Cyprus","2014","6952.14545049353"
"Cyprus","2013","6583.97779405123"
"Cyprus","2012","7264.03240813287"
"Cyprus","2011","7789.40270460108"
"Cyprus","2010","8102.69798134977"
"Cyprus","2009","8471.73903139035"
"Cyprus","2008","8717.24747939819"
"Cyprus","2007","8504.78216588158"
"Cyprus","2006","8185.4080655688"
"Cyprus","2005","7957.71140642641"
"Cyprus","2004","7803.42824343231"
"Cyprus","2003","7576.80057681807"
"Cyprus","2002","7185.92424639804"
"Cyprus","2001","6996.5831825364"
"Cyprus","2000","7122.41640200823"
"Cyprus","1999","6875.93529368905"
"Cyprus","1998","6609.14409550137"
"Cyprus","1997","6312.08980112988"
"Cyprus","1996","6224.28848125991"
"Cyprus","1995","5874.10657799116"
"Cyprus","1994","6002.47590492443"
"Cyprus","1993","5760.91627857976"
"Cyprus","1992","5517.49067739508"
"Cyprus","1991","5142.7726668963"
"Cyprus","1990","4653.21654224293"
"Czechia","2020","91853.8788192116"
"Czechia","2019","101012.964036555"
"Czechia","2018","106337.971756537"
"Czechia","2017","107747.748591019"
"Czechia","2016","106655.719408925"
"Czechia","2015","104995.655352165"
"Czechia","2014","104228.847592709"
"Czechia","2013","106711.393284493"
"Czechia","2012","111280.673510456"
"Czechia","2011","115185.835793911"
"Czechia","2010","117482.148214077"
"Czechia","2009","115013.222916739"
"Czechia","2008","122912.256423761"
"Czechia","2007","128369.905648159"
"Czechia","2006","126566.097370014"
"Czechia","2005","125688.561215134"
"Czechia","2004","128247.534160269"
"Czechia","2003","127478.649295785"
"Czechia","2002","123946.890361399"
"Czechia","2001","127030.01414257"
"Czechia","2000","127155.96174428"
"Czechia","1999","116569.943128577"
"Czechia","1998","125427.259375064"
"Czechia","1997","130834.166502063"
"Czechia","1996","135004.353720061"
"Czechia","1995","131627.143254531"
"Czechia","1994","132673.275885818"
"Czechia","1993","140129.092510355"
"Czechia","1992","145710.611153295"
"Czechia","1991","148879.300841263"
"Czechia","1990","164210.74843793"
"Denmark","2020","29948.3803722495"
"Denmark","2019","32601.0176346151"
"Denmark","2018","36316.6922464843"
"Denmark","2017","36274.6057963138"
"Denmark","2016","38348.6309773408"
"Denmark","2015","36543.7278953851"
"Denmark","2014","38920.2398136552"
"Denmark","2013","43125.7734634787"
"Denmark","2012","41268.0892765352"
"Denmark","2011","45705.0996272831"
"Denmark","2010","50731.5604430964"
"Denmark","2009","50217.0252850874"
"Denmark","2008","52675.5720292854"
"Denmark","2007","56170.8433450318"
"Denmark","2006","60931.2940755884"
"Denmark","2005","52973.7856144186"
"Denmark","2004","56536.1414858939"
"Denmark","2003","62089.8386550354"
"Denmark","2002","56923.890223063"
"Denmark","2001","57355.8355659949"
"Denmark","2000","55641.0280386049"
"Denmark","1999","59877.7506238532"
"Denmark","1998","62436.1348605591"
"Denmark","1997","66643.8674315492"
"Denmark","1996","76027.1554548272"
"Denmark","1995","62690.011049918"
"Denmark","1994","65729.3481929348"
"Denmark","1993","61713.3648530539"
"Denmark","1992","59626.7767042901"
"Denmark","1991","65460.4132818117"
"Denmark","1990","54879.3098018163"
"Estonia","2020","9343.01003354347"
"Estonia","2019","12380.1895885886"
"Estonia","2018","17935.0737392116"
"Estonia","2017","18762.486869113"
"Estonia","2016","17559.3527724912"
"Estonia","2015","15846.8996881723"
"Estonia","2014","18860.3974186472"
"Estonia","2013","19697.9050503588"
"Estonia","2012","17794.8271707514"
"Estonia","2011","18984.2217158647"
"Estonia","2010","19002.5173181057"
"Estonia","2009","14440.6450359589"
"Estonia","2008","17890.2321615385"
"Estonia","2007","19966.3750976349"
"Estonia","2006","16454.3332955757"
"Estonia","2005","17109.7848132262"
"Estonia","2004","17342.2982240301"
"Estonia","2003","17278.9764248994"
"Estonia","2002","15383.117321888"
"Estonia","2001","15900.3106943191"
"Estonia","2000","15500.3821654621"
"Estonia","1999","15955.2049955081"
"Estonia","1998","16942.1901239651"
"Estonia","1997","18684.5626792002"
"Estonia","1996","19042.3084155202"
"Estonia","1995","18066.4129109728"
"Estonia","1994","20046.154317622"
"Estonia","1993","19439.861192111"
"Estonia","1992","24422.8975730074"
"Estonia","1991","34138.6289462117"
"Estonia","1990","36922.213286462"
"European Union","2020","2955455.27234186"
"European Union","2019","3279125.15249018"
"European Union","2018","3436684.2014148"
"European Union","2017","3518463.01698324"
"European Union","2016","3507262.31884768"
"European Union","2015","3522924.39418622"
"European Union","2014","3486515.86924303"
"European Union","2013","3662262.79808254"
"European Union","2012","3755376.57689764"
"European Union","2011","3810551.42534783"
"European Union","2010","3952494.55437149"
"European Union","2009","3834020.11836112"
"European Union","2008","4179265.27473261"
"European Union","2007","4277051.1821645"
"European Union","2006","4320349.43253729"
"European Union","2005","4313101.0177502"
"European Union","2004","4335704.42509308"
"European Union","2003","4322450.02049997"
"European Union","2002","4227744.46756502"
"European Union","2001","4243880.79301414"
"European Union","2000","4176856.60473725"
"European Union","1999","4157213.76279626"
"European Union","1998","4218831.44627198"
"European Union","1997","4221882.9518992"
"European Union","1996","4311780.91030634"
"European Union","1995","4207186.9966977"
"European Union","1994","4166665.75121539"
"European Union","1993","4190488.60283986"
"European Union","1992","4271724.023903"
"European Union","1991","4415704.47703837"
"European Union","1990","4470262.00872625"
"Finland","2020","37595.9273924821"
"Finland","2019","42381.8405774828"
"Finland","2018","45796.4606972002"
"Finland","2017","44577.7956048396"
"Finland","2016","47181.8610310964"
"Finland","2015","44099.0953036791"
"Finland","2014","47595.8306509507"
"Finland","2013","51703.7519719934"
"Finland","2012","51145.6856226441"
"Finland","2011","56637.1711375562"
"Finland","2010","64080.7579739229"
"Finland","2009","55905.0725727169"
"Finland","2008","58620.9992498342"
"Finland","2007","66759.8350681035"
"Finland","2006","68370.6903689837"
"Finland","2005","57047.3160579689"
"Finland","2004","68939.1111774164"
"Finland","2003","72654.3243457637"
"Finland","2002","65040.9700159036"
"Finland","2001","62513.7364122532"
"Finland","2000","57009.922939233"
"Finland","1999","58866.897160879"
"Finland","1998","59351.4644964727"
"Finland","1997","62696.1722920393"
"Finland","1996","64033.0587360885"
"Finland","1995","58115.5176790716"
"Finland","1994","61732.6687410394"
"Finland","1993","56313.3663921308"
"Finland","1992","54265.0586461443"
"Finland","1991","55188.7601521182"
"Finland","1990","56914.336831446"
"France","2020","295136.416595281"
"France","2019","332962.151624592"
"France","2018","339398.537078239"
"France","2017","354045.608014854"
"France","2016","351094.358347738"
"France","2015","347527.792079647"
"France","2014","342923.519656912"
"France","2013","373645.232089906"
"France","2012","371884.04209198"
"France","2011","369674.772963742"
"France","2010","391533.992368253"
"France","2009","385238.039366163"
"France","2008","404514.959755646"
"France","2007","410400.759459941"
"France","2006","419873.212656151"
"France","2005","429561.364722959"
"France","2004","426570.829998642"
"France","2003","424895.687012145"
"France","2002","420017.438615787"
"France","2001","423443.915465087"
"France","2000","418188.986219629"
"France","1999","423145.035130136"
"France","1998","424294.256823684"
"France","1997","404145.465540816"
"France","1996","411286.37260594"
"France","1995","396061.739924445"
"France","1994","391196.096694413"
"France","1993","397075.642763289"
"France","1992","415157.019532877"
"France","1991","426478.613815934"
"France","1990","400964.634566633"
"Germany","2020","639381.0132743"
"Germany","2019","707149.94769374"
"Germany","2018","754408.431618837"
"Germany","2017","785616.471237272"
"Germany","2016","800339.833850796"
"Germany","2015","795556.569666734"
"Germany","2014","792255.42748876"
"Germany","2013","831207.653186616"
"Germany","2012","813693.04793318"
"Germany","2011","808911.52522996"
"Germany","2010","832540.982799134"
"Germany","2009","789899.979523003"
"Germany","2008","854508.174256253"
"Germany","2007","851222.968125576"
"Germany","2006","877938.801574876"
"Germany","2005","866302.769551055"
"Germany","2004","886637.161986105"
"Germany","2003","900627.665830089"
"Germany","2002","899449.765302779"
"Germany","2001","916144.477265733"
"Germany","2000","899351.823728537"
"Germany","1999","895352.120632054"
"Germany","1998","922812.221502082"
"Germany","1997","930870.086855487"
"Germany","1996","958700.376998936"
"Germany","1995","938613.565077399"
"Germany","1994","939492.313741831"
"Germany","1993","955819.933956183"
"Germany","1992","965541.817235357"
"Germany","1991","1013824.09512428"
"Germany","1990","1051979.10343184"
"Greece","2020","55610.2773526295"
"Greece","2019","65756.2324666561"
"Greece","2018","71781.9901017464"
"Greece","2017","74845.0504352613"
"Greece","2016","71364.1644931013"
"Greece","2015","74927.6314407955"
"Greece","2014","78639.6178862981"
"Greece","2013","81713.2598699917"
"Greece","2012","91392.5891275176"
"Greece","2011","94505.232097114"
"Greece","2010","97354.1500341358"
"Greece","2009","104319.842936133"
"Greece","2008","111080.37419613"
"Greece","2007","114545.692006628"
"Greece","2006","112419.544706665"
"Greece","2005","113888.965296394"
"Greece","2004","109485.277281552"
"Greece","2003","109066.727929603"
"Greece","2002","105000.510380002"
"Greece","2001","105361.862231588"
"Greece","2000","102973.166536014"
"Greece","1999","97934.8147311808"
"Greece","1998","98621.792697393"
"Greece","1997","93801.5577653188"
"Greece","1996","89114.9547845619"
"Greece","1995","86963.2041964421"
"Greece","1994","86430.2584258489"
"Greece","1993","84284.9583294909"
"Greece","1992","84975.6537122107"
"Greece","1991","83407.4983800825"
"Greece","1990","83438.039765697"
"Hungary","2020","47284.4967776955"
"Hungary","2019","49234.6455371595"
"Hungary","2018","49463.319040553"
"Hungary","2017","49515.2288170117"
"Hungary","2016","47113.0856432279"
"Hungary","2015","46653.469971035"
"Hungary","2014","43729.844259794"
"Hungary","2013","43611.552627777"
"Hungary","2012","46757.4805688548"
"Hungary","2011","50191.3285849012"
"Hungary","2010","52068.7315362348"
"Hungary","2009","51464.0549507094"
"Hungary","2008","57248.1069157141"
"Hungary","2007","58553.6683720267"
"Hungary","2006","59633.2106660564"
"Hungary","2005","60276.2717815752"
"Hungary","2004","60129.5536479243"
"Hungary","2003","61756.1772121723"
"Hungary","2002","59004.7067938343"
"Hungary","2001","59968.2116538127"
"Hungary","2000","58365.1507656802"
"Hungary","1999","61663.7429503724"
"Hungary","1998","61163.6661342564"
"Hungary","1997","61623.5587012393"
"Hungary","1996","63024.782485857"
"Hungary","1995","61391.3136102648"
"Hungary","1994","61786.5558217032"
"Hungary","1993","63389.2707737862"
"Hungary","1992","62084.8321580882"
"Hungary","1991","69656.2477636509"
"Hungary","1990","73225.5355036488"
"Iceland","2020","3328.87569786753"
"Iceland","2019","3546.26336495234"
"Iceland","2018","3658.95327275475"
"Iceland","2017","3601.61967353053"
"Iceland","2016","3485.18358508184"
"Iceland","2015","3533.85332167602"
"Iceland","2014","3436.35227753934"
"Iceland","2013","3480.07990104936"
"Iceland","2012","3490.87027138998"
"Iceland","2011","3494.16434585715"
"Iceland","2010","3616.6212616769"
"Iceland","2009","3719.71471782197"
"Iceland","2008","3801.13714540789"
"Iceland","2007","3483.68864430089"
"Iceland","2006","3144.6676182769"
"Iceland","2005","2968.44290697281"
"Iceland","2004","3100.13657398528"
"Iceland","2003","2976.17115413172"
"Iceland","2002","2982.48415187119"
"Iceland","2001","2855.33646853779"
"Iceland","2000","2923.14054650968"
"Iceland","1999","2831.17273757925"
"Iceland","1998","2628.70412644979"
"Iceland","1997","2609.59002651126"
"Iceland","1996","2513.64104458224"
"Iceland","1995","2459.56724128383"
"Iceland","1994","2342.13470939884"
"Iceland","1993","2393.48130719031"
"Iceland","1992","2242.60367555307"
"Iceland","1991","2096.3087932929"
"Iceland","1990","2215.85571376301"
"Ireland","2020","35153.2021183073"
"Ireland","2019","37325.6634912095"
"Ireland","2018","39012.3684808806"
"Ireland","2017","39078.0332320044"
"Ireland","2016","40369.5428013832"
"Ireland","2015","38718.0397204234"
"Ireland","2014","36853.0135561188"
"Ireland","2013","37281.7497976384"
"Ireland","2012","38227.1569904389"
"Ireland","2011","38056.3827589759"
"Ireland","2010","41793.6160107401"
"Ireland","2009","42179.3077665811"
"Ireland","2008","47363.2578099667"
"Ireland","2007","47664.3342272222"
"Ireland","2006","47604.6588161198"
"Ireland","2005","48156.5971887933"
"Ireland","2004","46166.7845615649"
"Ireland","2003","45684.108647978"
"Ireland","2002","46081.5887299667"
"Ireland","2001","47607.6122071706"
"Ireland","2000","45249.1164185925"
"Ireland","1999","42440.1828453182"
"Ireland","1998","40708.9714456046"
"Ireland","1997","38804.9852627238"
"Ireland","1996","37469.2701499203"
"Ireland","1995","35852.9867073652"
"Ireland","1994","34838.4467322644"
"Ireland","1993","33716.3644942795"
"Ireland","1992","33495.3151337595"
"Ireland","1991","33674.3073971846"
"Ireland","1990","32944.4202136033"
"Italy","2020","302278.600264494"
"Italy","2019","339233.206691826"
"Italy","2018","349005.04232527"
"Italy","2017","352735.386621746"
"Italy","2016","358182.542275944"
"Italy","2015","361163.176900056"
"Italy","2014","349390.356712187"
"Italy","2013","369679.720149775"
"Italy","2012","403696.912133942"
"Italy","2011","424256.269767753"
"Italy","2010","436117.436783875"
"Italy","2009","424694.439335467"
"Italy","2008","478868.67935853"
"Italy","2007","490566.287966557"
"Italy","2006","496846.732112187"
"Italy","2005","502255.442380991"
"Italy","2004","501563.231780917"
"Italy","2003","495961.639969457"
"Italy","2002","477998.974108003"
"Italy","2001","470568.080784752"
"Italy","2000","470487.186762437"
"Italy","1999","466424.936324883"
"Italy","1998","461945.961953669"
"Italy","1997","449754.150780105"
"Italy","1996","444029.375052502"
"Italy","1995","449826.113297029"
"Italy","1994","425796.827290169"
"Italy","1993","431604.813485424"
"Italy","1992","439315.319864507"
"Italy","1991","439094.124633107"
"Italy","1990","439549.839908439"
"Japan","2020","1042224.01561306"
"Japan","2019","1106015.48599126"
"Japan","2018","1143411.9084635"
"Japan","2017","1188358.94858573"
"Japan","2016","1203888.20638063"
"Japan","2015","1223605.16062135"
"Japan","2014","1264413.25135138"
"Japan","2013","1315568.7003062"
"Japan","2012","1306182.51315518"
"Japan","2011","1265034.86330288"
"Japan","2010","1215058.10312148"
"Japan","2009","1163375.13402925"
"Japan","2008","1232480.69487996"
"Japan","2007","1303362.02986849"
"Japan","2006","1267623.95773936"
"Japan","2005","1290599.50784656"
"Japan","2004","1283076.66239558"
"Japan","2003","1287691.83392461"
"Japan","2002","1279362.2999957"
"Japan","2001","1249988.53935479"
"Japan","2000","1264594.6564831"
"Japan","1999","1241835.60372264"
"Japan","1998","1205249.92294137"
"Japan","1997","1245139.35953709"
"Japan","1996","1252447.045185"
"Japan","1995","1239909.39957937"
"Japan","1994","1227513.5317017"
"Japan","1993","1172487.30784363"
"Japan","1992","1179504.31582202"
"Japan","1991","1169777.7158012"
"Japan","1990","1158129.43944799"
"Latvia","2020","6994.1129030566"
"Latvia","2019","7648.67256827468"
"Latvia","2018","7859.36253676143"
"Latvia","2017","7214.94607081891"
"Latvia","2016","7210.32486723593"
"Latvia","2015","7262.09903719528"
"Latvia","2014","7171.96131632491"
"Latvia","2013","7368.43746708242"
"Latvia","2012","7519.41022920671"
"Latvia","2011","7810.79489415363"
"Latvia","2010","8554.09391244303"
"Latvia","2009","7456.00636579779"
"Latvia","2008","8197.89444306089"
"Latvia","2007","8637.10078578336"
"Latvia","2006","8309.8288258768"
"Latvia","2005","7810.47081150243"
"Latvia","2004","7730.93404407668"
"Latvia","2003","7725.8575036522"
"Latvia","2002","7520.24532496964"
"Latvia","2001","7496.3233608019"
"Latvia","2000","7081.46852119382"
"Latvia","1999","7717.71259040806"
"Latvia","1998","8305.87905056182"
"Latvia","1997","8679.76436367933"
"Latvia","1996","9211.50085656681"
"Latvia","1995","9133.78221004245"
"Latvia","1994","10370.0083094024"
"Latvia","1993","11921.4966416104"
"Latvia","1992","14193.3561939276"
"Latvia","1991","17919.4012809227"
"Latvia","1990","19661.3962255959"
"Liechtenstein","2020","141.996093051619"
"Liechtenstein","2019","149.025715505473"
"Liechtenstein","2018","142.950402856394"
"Liechtenstein","2017","155.769396512046"
"Liechtenstein","2016","149.838255915867"
"Liechtenstein","2015","159.773794297678"
"Liechtenstein","2014","161.2591698025"
"Liechtenstein","2013","192.544886659596"
"Liechtenstein","2012","185.325447293463"
"Liechtenstein","2011","176.781992710301"
"Liechtenstein","2010","190.830438866761"
"Liechtenstein","2009","205.374673474742"
"Liechtenstein","2008","219.535867069077"
"Liechtenstein","2007","200.793925066695"
"Liechtenstein","2006","231.120799985606"
"Liechtenstein","2005","228.986321744031"
"Liechtenstein","2004","229.390829736888"
"Liechtenstein","2003","229.35451611304"
"Liechtenstein","2002","220.01827325449"
"Liechtenstein","2001","214.671050081607"
"Liechtenstein","2000","216.859998072712"
"Liechtenstein","1999","226.566396560055"
"Liechtenstein","1998","229.23871251075"
"Liechtenstein","1997","218.376491402331"
"Liechtenstein","1996","205.96036739446"
"Liechtenstein","1995","204.2016142182"
"Liechtenstein","1994","201.111090326121"
"Liechtenstein","1993","215.03442023538"
"Liechtenstein","1992","206.950491057098"
"Liechtenstein","1991","206.329151456906"
"Liechtenstein","1990","198.970855799094"
"Lithuania","2020","13653.1549264396"
"Lithuania","2019","13923.3057061933"
"Lithuania","2018","13691.3493951367"
"Lithuania","2017","13571.8337383505"
"Lithuania","2016","13351.1773243412"
"Lithuania","2015","13319.6794406539"
"Lithuania","2014","13108.0844156378"
"Lithuania","2013","13355.9733667203"
"Lithuania","2012","14349.4868685277"
"Lithuania","2011","14292.8254705665"
"Lithuania","2010","13946.6131196651"
"Lithuania","2009","13043.233112888"
"Lithuania","2008","15204.2302081707"
"Lithuania","2007","15824.054444966"
"Lithuania","2006","14434.0812682019"
"Lithuania","2005","14117.4136996386"
"Lithuania","2004","13287.306044842"
"Lithuania","2003","12692.6009454984"
"Lithuania","2002","12699.1602663835"
"Lithuania","2001","12627.0738599461"
"Lithuania","2000","11876.4004310189"
"Lithuania","1999","13482.9748101695"
"Lithuania","1998","16030.5781290975"
"Lithuania","1997","15196.3491032049"
"Lithuania","1996","15773.4440127402"
"Lithuania","1995","15091.5539987791"
"Lithuania","1994","15801.1438602545"
"Lithuania","1993","16353.7459250779"
"Lithuania","1992","21201.4570423248"
"Lithuania","1991","37849.996891879"
"Lithuania","1990","35767.7339597809"
"Luxembourg","2020","8096.51322274887"
"Luxembourg","2019","9751.72832044374"
"Luxembourg","2018","9566.67133968349"
"Luxembourg","2017","9261.19765665901"
"Luxembourg","2016","9089.2348072141"
"Luxembourg","2015","9347.46580515013"
"Luxembourg","2014","9828.19145481634"
"Luxembourg","2013","10325.3639887258"
"Luxembourg","2012","10867.4761404747"
"Luxembourg","2011","11102.9587882625"
"Luxembourg","2010","11202.1638216407"
"Luxembourg","2009","10638.9657780147"
"Luxembourg","2008","11184.472729527"
"Luxembourg","2007","11317.7802681835"
"Luxembourg","2006","11920.3572045772"
"Luxembourg","2005","12087.8364931415"
"Luxembourg","2004","11829.0909761302"
"Luxembourg","2003","10459.1700516116"
"Luxembourg","2002","9983.68491235369"
"Luxembourg","2001","9207.53056688854"
"Luxembourg","2000","8709.96312363695"
"Luxembourg","1999","8127.87508693335"
"Luxembourg","1998","7675.9487447667"
"Luxembourg","1997","8553.96986847631"
"Luxembourg","1996","9201.61415662601"
"Luxembourg","1995","9151.72946329895"
"Luxembourg","1994","11542.4750748352"
"Luxembourg","1993","12354.7643605503"
"Luxembourg","1992","12209.722811135"
"Luxembourg","1991","12443.1511454765"
"Luxembourg","1990","11823.3528845117"
"Malta","2020","1599.5764579097"
"Malta","2019","1649.19264988714"
"Malta","2018","1546.9478834604"
"Malta","2017","1530.87837673724"
"Malta","2016","1356.35280480161"
"Malta","2015","1665.29124194334"
"Malta","2014","2364.38661199179"
"Malta","2013","2379.19003188812"
"Malta","2012","2726.20673611241"
"Malta","2011","2577.19767206382"
"Malta","2010","2589.13122641186"
"Malta","2009","2527.63251340471"
"Malta","2008","2739.89422238748"
"Malta","2007","2731.30125744559"
"Malta","2006","2661.65809426623"
"Malta","2005","2644.67240481794"
"Malta","2004","2819.96376142259"
"Malta","2003","2960.53361552876"
"Malta","2002","2687.78407845158"
"Malta","2001","2647.7182019562"
"Malta","2000","2507.25671163476"
"Malta","1999","2591.8223994292"
